conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89E+18,Sun Feb 23 13:18:09 +0000 2025,0,Program Makan Bergizi Gratis dari pemerintah pusat mendapat dukungan berbagai elemen masyarakat. Program ini dinilai sejalan dengan upaya meningkatkan kesehatan &amp; kesejahteraan. Harapannya manfaatnya bisa dirasakan secara luas &amp; berkelanjutan. #MakanBergiziGratis https://t.co/EkGn1Rq6BB,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893650326793887744/pu/img/6S_hjAegvMZ_5gnc.jpg,,in,,0,0,0,https://x.com/undefined/status/1893651563693944949,1.75E+18,
1.89E+18,Sun Feb 23 13:17:56 +0000 2025,0,Program Makan Bergizi Gratis dari pemerintah pusat mendapat dukungan berbagai elemen masyarakat. Program ini dinilai sejalan dengan upaya meningkatkan kesehatan &amp; kesejahteraan. Harapannya manfaatnya bisa dirasakan secara luas &amp; berkelanjutan. #MakanBergiziGratis https://t.co/U3v8pJdnSN,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893650278248792065/pu/img/0FKkiCbzcFN7FC7b.jpg,,in,,0,0,0,https://x.com/undefined/status/1893651508341641719,1.75E+18,
1.89E+18,Sun Feb 23 13:15:30 +0000 2025,0,Program Makan Bergizi Gratis dari pemerintah pusat mendapat dukungan berbagai elemen masyarakat. Program ini dinilai sejalan dengan upaya meningkatkan kesehatan &amp; kesejahteraan. Harapannya manfaatnya bisa dirasakan secara luas &amp; berkelanjutan. #MakanBergiziGratis https://t.co/HPHfbeDVEu,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893650326936240128/pu/img/MHdWwMF-P1u73fNR.jpg,,in,,0,0,0,https://x.com/undefined/status/1893650897273577757,1.75E+18,
1.89E+18,Sun Feb 23 13:15:00 +0000 2025,0,Program Makan Bergizi Gratis dari pemerintah pusat mendapat dukungan berbagai elemen masyarakat. Program ini dinilai sejalan dengan upaya meningkatkan kesehatan &amp; kesejahteraan. Harapannya manfaatnya bisa dirasakan secara luas &amp; berkelanjutan. #MakanBergiziGratis https://t.co/SrSKG0YCnl,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893650275270889472/pu/img/V9DdzZ67kZDZuvRk.jpg,,in,,0,0,0,https://x.com/undefined/status/1893650769393438733,1.75E+18,
1.89E+18,Sun Feb 23 12:44:40 +0000 2025,0,kata gw pak prabowo dan seluruh jajaran menteri asbun staf tatetot daripada bersungut2 mau bikin makan bergizi gratis MENDING BELAJAR SAMA ANAK SD. ipk dua koma dibanggain attitude aja kalah banter sama yg masih nyanyi balonku,1.89E+18,,,in,,0,0,0,https://x.com/undefined/status/1893643138201182418,1.28E+18,
1.89E+18,Sun Feb 23 12:16:41 +0000 2025,0,Siswa SD di Sumsel Keracunan Makan Bergizi Gratis BGN Minta Dimaklumi Makan bergizi gratis yang dibagikan di SDN 7 Tebing Tinggi Kabupaten Empat Lawang Sumatera Selatan diduga basi hingga menyebabkan siswa keracunan https://t.co/EjPNUOasdj,1.89E+18,,,in,,0,0,0,https://x.com/undefined/status/1893636093855125788,160603309,
1.89E+18,Sun Feb 23 12:16:36 +0000 2025,0,@V3g3L min @Gerindra tolong kasih makan bergizi gratis,1.89E+18,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1893636071797215532,229007825,
1.89E+18,Sun Feb 23 08:43:23 +0000 2025,1,Ketua PD. Pemuda Muhammadiyah Sula Dukung Program MBG Prabowo-Gibran Ketua Pimpinan Daerah Pemuda Muhammadiyah Kepulauan Sula Said Buamona mendukung penuh program Makan Bergizi Gratis (MBG) #PenuhiGiziIndonesia https://t.co/3rWa8e4TRE,1.89E+18,,,in,,0,1,0,https://x.com/undefined/status/1893582414418477094,1.62E+18,
1.89E+18,Sun Feb 23 08:36:42 +0000 2025,104,@UGM_FESS anjay makan bergizi gratis kalah ini,1.89E+18,,UGM_FESS,in,,0,0,0,https://x.com/undefined/status/1893580731479404638,1.45E+18,
1.89E+18,Sun Feb 23 08:16:49 +0000 2025,0,@NenkMonica Kalo Jan Ethes cucu Jokowi Keracunan Makan Bergizi Gratis ( MBG ) baru distop kali ya.. semoga terjadi #IndonesiaGelap,1.89E+18,,NenkMonica,in,,0,1,0,https://x.com/undefined/status/1893575728714694818,1.67E+18,
1.89E+18,Sun Feb 23 08:10:21 +0000 2025,0,Makan bergizi Gratis sehatkan bangsa cerdaskan generasi dan dorong ekonomi daerah https://t.co/RRQlDQDHop,1.89E+18,https://pbs.twimg.com/media/GkdTmzMaoAErshg.jpg,,in,,0,0,0,https://x.com/undefined/status/1893574102994010295,1.56E+18,
1.89E+18,Sun Feb 23 07:55:42 +0000 2025,4,@ayooogr @prabowo Mungkin mereka harus diberi Makan Bergizi Gratis supaya cerdas dan berprestasi extraordinary seperti Gibran Kahiyang dan Kaesang . https://t.co/wvw5VrNcXZ,1.89E+18,https://pbs.twimg.com/media/GkdQQZMXIAAoBKh.jpg,ayooogr,in,,0,1,1,https://x.com/undefined/status/1893570413659332847,9.00E+17,
1.89E+18,Sun Feb 23 07:34:05 +0000 2025,0,melainkan momentum penting untuk membangun kesejahteraan bagi masyarakat. Sebagai langkah konkret mengumumkan program makan bergizi gratis bagi anak-anak Jawa Barat sebagai investasi jangka panjang untuk generasi mendatang https://t.co/gJpDevhEqi,1.89E+18,https://pbs.twimg.com/media/GkdLTyNWAAAQ1qy.jpg,DiskominfoPWK,in,,0,1,0,https://x.com/undefined/status/1893564975224103025,1715572460,
1.89E+18,Sun Feb 23 07:30:25 +0000 2025,1,@Ikhwanazis89 @prabowo Makan bergizi gratis yg sebelumnya 15 ribu dengan menu bergizi dan mengenyangkan serta ada susu nya ehh kenyataannya kena pangkas 10 ribu itu pun menu nya gak bergizi bahkan ada lalat serangga ada juga siswa yg keracunan gak ada susu tapi presidennya rekom pilihannya EQUIL,1.89E+18,,Ikhwanazis89,in,,0,0,0,https://x.com/undefined/status/1893564053789753583,1.72E+18,
1.89E+18,Sun Feb 23 07:30:02 +0000 2025,0,Prabowo bertemu pimpinan media di Hambalang. Diskusi enam jam bahas isu strategis efisiensi anggaran dan program Makan Bergizi Gratis. https://t.co/OOBKCtHEyM,1.89E+18,,,in,,0,0,0,https://x.com/undefined/status/1893563957211717844,1404018642,
1.89E+18,Sun Feb 23 07:22:10 +0000 2025,0,Makan bergizi gratis bantu tumbuh kembang anak demi Indonesia maju dan mandiri. #MakanBergiziGratis https://t.co/DRIgkz6F6I,1.89E+18,https://pbs.twimg.com/media/GkdIfQEaoAMmiY5.jpg,DiboWil30915477,in,,0,1,0,https://x.com/undefined/status/1893561974396510667,1.55E+18,
1.89E+18,Sun Feb 23 07:22:07 +0000 2025,0,Anak sehat bangsa kuat! Program makan bergizi gratis tingkatkan kualitas SDM. #MakanBergiziGratis https://t.co/DGbg1IFbfz,1.89E+18,https://pbs.twimg.com/media/GkdIgj6WcAAj27s.jpg,DiboWil30915477,in,,0,1,0,https://x.com/undefined/status/1893561965198614637,1.55E+18,
1.89E+18,Sun Feb 23 07:22:05 +0000 2025,0,Sehat dan cerdas! Program makan bergizi gratis hadir untuk generasi emas Indonesia. #MakanBergiziGratis https://t.co/36fQDwlY0w,1.89E+18,https://pbs.twimg.com/media/GkdIhinXwAAEB7A.jpg,DiboWil30915477,in,,0,1,0,https://x.com/undefined/status/1893561957195882506,1.55E+18,
1.89E+18,Sun Feb 23 07:22:04 +0000 2025,1,Makan bergizi gratis untuk anak Indonesia wujud nyata kepedulian Prabowo-Gibran! #MakanBergiziGratis https://t.co/QTq3mN0N85,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893561918218215426/pu/img/6JoitVQr6T9F4LZB.jpg,,in,,0,1,0,https://x.com/undefined/status/1893561952250597758,1.55E+18,
1.89E+18,Sun Feb 23 07:19:21 +0000 2025,0,@alisyarief Makan bergizi gratis aja 10rb berarti kalau 20rb cuma bisa makan 2 kali terus tinggal di kolong jembatan donk. Wong edan pejabat pemerintah kalau ngebohongi rakyatnya,1.89E+18,,alisyarief,in,,0,0,0,https://x.com/undefined/status/1893561269506187476,1.75E+18,
1.89E+18,Sun Feb 23 07:10:38 +0000 2025,115,Sudah berulang nih ada keracunan Makan Bergizi Gratis.. Jangan sampai program Makan Bergizi Gratis jadi holocaust kepada anak-anak Indonesia.. ==== Rest In Peace Najwa Shihab Emil Fadli Kwangmin PDIP Paus Fransiskus Intel Jepang Ndasmu https://t.co/O1rlpTFrrA,1.89E+18,https://pbs.twimg.com/ext_tw_video_thumb/1893559008658628608/pu/img/3O22bl8rrmfvHz6s.jpg,,in,,2,16,48,https://x.com/undefined/status/1893559074710560880,214159664,
1.89E+18,Sun Feb 23 07:04:51 +0000 2025,0,Makan bergizi gratis hanya untuk 2 anak dan bisa saja bulan depan semuanya sudah tidak mendapatkan makanan tersebut karena ayahnya sudah dirumahkan.. Credit buat pemilik foto ini you're master class #makanbergizigratis #IndonesiaGelap https://t.co/43zR6vBunU,1.89E+18,https://pbs.twimg.com/media/GkdEninacAEIKzt.jpg,,in,,0,0,0,https://x.com/undefined/status/1893557617445789735,1.75E+18,
1.89E+18,Sun Feb 23 07:02:23 +0000 2025,1,Di negara ini sangat banyak bocah2 kaya gini dan ketimbang diberikan pendidikan yang baik dg akses yg baik dan mudah biar pemikirannya baik malah dikasi makan gratis yg ga bikin pemikirannya jadi lebih baik. Makan gratis bukan bergizi krn banyak yang keracunan,1.89E+18,,,in,,0,0,0,https://x.com/undefined/status/1893556998932963548,2325742784,
1.89E+18,Sun Feb 23 06:57:16 +0000 2025,0,Bersama kita ciptakan generasi emas Indonesia dengan gizi yang cukup! Program Makan Bergizi Gratis hadir untuk anak bangsa. #SehatSejakDini #MakanBergiziGratis #MasaDepanCemerlang https://t.co/v0cI9NKP6L,1.89E+18,https://pbs.twimg.com/media/GkdC4gvasAAq6UN.jpg,,in,,0,0,0,https://x.com/undefined/status/1893555709989552552,1.32E+18,
